Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
org.seimicrawler.xpath.JXNode::asString()Ljava/lang/String;,JsoupXpath-2.4.3,org.jsoup.nodes.Element::toString()Ljava/lang/String;,org.jsoup.nodes.Element::toString()Ljava/lang/String;,jsoup-1.13.1,1
ch.qos.logback.classic.Logger::addAppender(Lch/qos/logback/core/Appender;)V,logback-classic-1.2.3,ch.qos.logback.core.spi.AppenderAttachableImpl::addAppender(Lch/qos/logback/core/Appender;)V,ch.qos.logback.core.spi.AppenderAttachableImpl::addAppender(Lch/qos/logback/core/Appender;)V,logback-core-1.2.3,1
org.seimicrawler.xpath.core.XpathProcessor::visitMultiplicativeExpr(Lorg/seimicrawler/xpath/antlr/XpathParser$MultiplicativeExprContext;)Lorg/seimicrawler/xpath/core/XValue;,JsoupXpath-2.4.3,org.antlr.v4.runtime.Token::getType()I,org.antlr.v4.runtime.CommonToken::getType()I,antlr4-runtime-4.7.2,80
org.jsoup.parser.HtmlTreeBuilderState$9::process(Lorg/jsoup/parser/Token;Lorg/jsoup/parser/HtmlTreeBuilder;)Z,jsoup-1.13.1,org.jsoup.helper.StringUtil::in(Ljava/lang/String;[Ljava/lang/String;)Z,org.jsoup.helper.StringUtil::in(Ljava/lang/String;[Ljava/lang/String;)Z,jsoup-1.10.3,54
org.junit.runners.ParentRunner::validatePublicVoidNoArgMethods(Ljava/lang/Class;ZLjava/util/List;)V,junit-4.12,org.junit.runners.ParentRunner::getTestClass()Lorg/junit/runners/model/TestClass;,com.tngtech.java.junit.dataprovider.DataProviderRunner::getTestClass()Lorg/junit/runners/model/TestClass;,junit-dataprovider-1.10.2,4
org.antlr.v4.runtime.Parser::enterOuterAlt(Lorg/antlr/v4/runtime/ParserRuleContext;I)V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::setAltNumber(I)V,org.seimicrawler.xpath.antlr.XpathParser$UnionExprNoRootContext::setAltNumber(I)V,JsoupXpath-2.4.3,124
org.antlr.v4.runtime.ParserRuleContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::addAnyChild(Lorg/antlr/v4/runtime/tree/ParseTree;)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$RelativeLocationPathContext::addAnyChild(Lorg/antlr/v4/runtime/tree/ParseTree;)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,156
com.tngtech.java.junit.dataprovider.internal.TestGenerator::explodeTestMethod(Lorg/junit/runners/model/FrameworkMethod;Lorg/junit/runners/model/FrameworkMethod;)Ljava/util/List;,junit-dataprovider-1.10.2,org.junit.runners.model.FrameworkMethod::getMethod()Ljava/lang/reflect/Method;,org.junit.runners.model.FrameworkMethod::getMethod()Ljava/lang/reflect/Method;,junit-4.12,1
org.antlr.v4.runtime.DefaultErrorStrategy::sync(Lorg/antlr/v4/runtime/Parser;)V,antlr4-runtime-4.7.2,org.antlr.v4.runtime.Parser::getInterpreter()Lorg/antlr/v4/runtime/atn/ATNSimulator;,org.seimicrawler.xpath.antlr.XpathParser::getInterpreter()Lorg/antlr/v4/runtime/atn/ATNSimulator;,JsoupXpath-2.4.3,2659
org.antlr.v4.runtime.ParserRuleContext::addChild(Lorg/antlr/v4/runtime/RuleContext;)Lorg/antlr/v4/runtime/RuleContext;,antlr4-runtime-4.7.2,org.antlr.v4.runtime.ParserRuleContext::addAnyChild(Lorg/antlr/v4/runtime/tree/ParseTree;)Lorg/antlr/v4/runtime/tree/ParseTree;,org.seimicrawler.xpath.antlr.XpathParser$UnaryExprNoRootContext::addAnyChild(Lorg/antlr/v4/runtime/tree/ParseTree;)Lorg/antlr/v4/runtime/tree/ParseTree;,JsoupXpath-2.4.3,123
