CallerLibrary	CallerMethod	DeclaredCalleeMethod	DeclaredCalleeLibrary	ActualCalleeMethod	ActualCalleeLibrary	CalleeVisibility	ServiceBypass	Counts
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectReader::createParser(Ljava/io/DataInput;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/DataInput;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/DataInput;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectReader::createParser(Ljava/io/InputStream;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/InputStream;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/InputStream;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectReader::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/io/Reader;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectReader::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createParser(Ljava/lang/String;)Lcom/fasterxml/jackson/core/JsonParser;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectWriter::createGenerator(Ljava/io/DataOutput;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core.JsonFactory::createGenerator(Ljava/io/DataOutput;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createGenerator(Ljava/io/DataOutput;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectWriter::createGenerator(Ljava/io/OutputStream;Lcom/fasterxml/jackson/core/JsonEncoding;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core.JsonFactory::createGenerator(Ljava/io/OutputStream;Lcom/fasterxml/jackson/core/JsonEncoding;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createGenerator(Ljava/io/OutputStream;Lcom/fasterxml/jackson/core/JsonEncoding;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectWriter::createGenerator(Ljava/io/Writer;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core.JsonFactory::createGenerator(Ljava/io/Writer;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::createGenerator(Ljava/io/Writer;)Lcom/fasterxml/jackson/core/JsonGenerator;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectWriter::writeValueAsBytes(Ljava/lang/Object;)[B"	"com.fasterxml.jackson.core.JsonFactory::_getBufferRecycler()Lcom/fasterxml/jackson/core/util/BufferRecycler;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::_getBufferRecycler()Lcom/fasterxml/jackson/core/util/BufferRecycler;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.ObjectWriter::writeValueAsString(Ljava/lang/Object;)Ljava/lang/String;"	"com.fasterxml.jackson.core.JsonFactory::_getBufferRecycler()Lcom/fasterxml/jackson/core/util/BufferRecycler;"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::_getBufferRecycler()Lcom/fasterxml/jackson/core/util/BufferRecycler;"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
"com.fasterxml.jackson.core:jackson-databind:2.12.3"	"com.fasterxml.jackson.databind.SerializationConfig::isEnabled(Lcom/fasterxml/jackson/core/JsonGenerator$Feature;Lcom/fasterxml/jackson/core/JsonFactory;)Z"	"com.fasterxml.jackson.core.JsonFactory::isEnabled(Lcom/fasterxml/jackson/core/JsonGenerator$Feature;)Z"	"com.fasterxml.jackson.core"	"com.fasterxml.jackson.core.JsonFactory::isEnabled(Lcom/fasterxml/jackson/core/JsonGenerator$Feature;)Z"	"com.fasterxml.jackson.core"	"public"	"instantiation"	1
