Caller Method,Caller Library,Virtual Callee Method,Actual Callee Method,Callee Library,Count
javax.servlet.http.HttpServlet::service(Ljavax/servlet/http/HttpServletRequest;Ljavax/servlet/http/HttpServletResponse;)V,javax.servlet-api-3.1.0,javax.servlet.http.HttpServlet::getLastModified(Ljavax/servlet/http/HttpServletRequest;)J,org.jsoup.integration.servlets.FileServlet::getLastModified(Ljavax/servlet/http/HttpServletRequest;)J,org.jsoup.integration.servlets,5
org.eclipse.jetty.util.component.ContainerLifeCycle::addBean(Ljava/lang/Object;Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Managed;)Z,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.ContainerLifeCycle::isStarting()Z,org.eclipse.jetty.io.ManagedSelector::isStarting()Z,jetty-io-9.4.26.v20200117,4
org.eclipse.jetty.util.component.ContainerLifeCycle::addBean(Ljava/lang/Object;Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Managed;)Z,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.Container$Listener::beanAdded(Lorg/eclipse/jetty/util/component/Container;Ljava/lang/Object;)V,org.eclipse.jetty.server.AbstractConnector$1::beanAdded(Lorg/eclipse/jetty/util/component/Container;Ljava/lang/Object;)V,jetty-server-9.4.26.v20200117,8
org.eclipse.jetty.io.ChannelEndPoint::fill(Ljava/nio/ByteBuffer;)I,jetty-io-9.4.26.v20200117,org.eclipse.jetty.util.BufferUtil::flipToFlush(Ljava/nio/ByteBuffer;I)V,org.eclipse.jetty.util.BufferUtil::flipToFlush(Ljava/nio/ByteBuffer;I)V,jetty-util-9.4.26.v20200117,147
org.eclipse.jetty.server.HttpConnection$SendCallback::process()Lorg/eclipse/jetty/util/IteratingCallback$Action;,jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpGenerator::generateResponse(Lorg/eclipse/jetty/http/MetaData$Response;ZLjava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Z)Lorg/eclipse/jetty/http/HttpGenerator$Result;,org.eclipse.jetty.http.HttpGenerator::generateResponse(Lorg/eclipse/jetty/http/MetaData$Response;ZLjava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Ljava/nio/ByteBuffer;Z)Lorg/eclipse/jetty/http/HttpGenerator$Result;,jetty-http-9.4.26.v20200117,189
org.eclipse.jetty.server.AbstractConnector::interruptAcceptors()V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.thread.Locker$Lock::close()V,org.eclipse.jetty.util.thread.Locker$Lock::close()V,jetty-util-9.4.26.v20200117,1
org.eclipse.jetty.util.component.AbstractLifeCycle::stop()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::setStopping()V,org.eclipse.jetty.servlet.ServletHolder::setStopping()V,jetty-servlet-9.4.26.v20200117,7
org.eclipse.jetty.util.component.ContainerLifeCycle::doStart()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.LifeCycle::isStopped()Z,org.eclipse.jetty.servlet.ServletHandler::isStopped()Z,jetty-servlet-9.4.26.v20200117,1
org.eclipse.jetty.servlet.ServletHolder::destroyInstance(Ljava/lang/Object;)V,jetty-servlet-9.4.26.v20200117,javax.servlet.Servlet::destroy()V,org.jsoup.integration.servlets.FileServlet::destroy()V,org.jsoup.integration.servlets,1
org.eclipse.jetty.util.component.AbstractLifeCycle::stop()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::doStop()V,org.eclipse.jetty.io.ManagedSelector::doStop()V,jetty-io-9.4.26.v20200117,4
org.eclipse.jetty.server.HttpChannelOverHttp::parsedHeader(Lorg/eclipse/jetty/http/HttpField;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpHeader::ordinal()I,org.eclipse.jetty.http.HttpHeader::ordinal()I,jetty-http-9.4.26.v20200117,307
org.eclipse.jetty.server.Request::setMetaData(Lorg/eclipse/jetty/http/MetaData$Request;)V,jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.MetaData$Request::getMethod()Ljava/lang/String;,org.eclipse.jetty.http.MetaData$Request::getMethod()Ljava/lang/String;,jetty-http-9.4.26.v20200117,56
org.eclipse.jetty.util.component.AbstractLifeCycle::stop()V,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.AbstractLifeCycle::setStopping()V,org.eclipse.jetty.server.ServerConnector$ServerConnectorManager::setStopping()V,jetty-server-9.4.26.v20200117,1
org.eclipse.jetty.server.MultiParts$MultiPartsUtilParser::getPart(Ljava/lang/String;)Ljavax/servlet/http/Part;,jetty-server-9.4.26.v20200117,org.eclipse.jetty.util.MultiPartInputStreamParser::getPart(Ljava/lang/String;)Ljavax/servlet/http/Part;,org.eclipse.jetty.util.MultiPartInputStreamParser::getPart(Ljava/lang/String;)Ljavax/servlet/http/Part;,jetty-util-9.4.26.v20200117,2
org.eclipse.jetty.io.ManagedSelector::endPointOpened(Lorg/eclipse/jetty/io/EndPoint;)V,jetty-io-9.4.26.v20200117,org.eclipse.jetty.io.SelectorManager::endPointOpened(Lorg/eclipse/jetty/io/EndPoint;)V,org.eclipse.jetty.server.ServerConnector$ServerConnectorManager::endPointOpened(Lorg/eclipse/jetty/io/EndPoint;)V,jetty-server-9.4.26.v20200117,3
org.eclipse.jetty.server.Request::getQueryString()Ljava/lang/String;,jetty-server-9.4.26.v20200117,org.eclipse.jetty.http.HttpURI::getQuery()Ljava/lang/String;,org.eclipse.jetty.http.HttpURI::getQuery()Ljava/lang/String;,jetty-http-9.4.26.v20200117,21
org.eclipse.jetty.util.component.ContainerLifeCycle::addBean(Ljava/lang/Object;Lorg/eclipse/jetty/util/component/ContainerLifeCycle$Managed;)Z,jetty-util-9.4.26.v20200117,org.eclipse.jetty.util.component.LifeCycle::isRunning()Z,org.eclipse.jetty.io.ManagedSelector::isRunning()Z,jetty-io-9.4.26.v20200117,4
