CallerLibrary	InterfaceLibrary	InterfaceName	CallerMethod	CalleeMethod	ImplName	Counts
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::getJavaType(Ljava/lang/reflect/Type;Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/JavaType;"	"com.fasterxml.jackson.databind.ObjectMapper::getTypeFactory()Lcom/fasterxml/jackson/databind/type/TypeFactory;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::readJavaType(Lcom/fasterxml/jackson/databind/JavaType;Lorg/springframework/http/HttpInputMessage;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper::readerWithView(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectReader;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::readJavaType(Lcom/fasterxml/jackson/databind/JavaType;Lorg/springframework/http/HttpInputMessage;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper::readValue(Ljava/io/InputStream;Lcom/fasterxml/jackson/databind/JavaType;)Ljava/lang/Object;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::writeInternal(Ljava/lang/Object;Ljava/lang/reflect/Type;Lorg/springframework/http/HttpOutputMessage;)V"	"com.fasterxml.jackson.databind.ObjectMapper::writer()Lcom/fasterxml/jackson/databind/ObjectWriter;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.AbstractJackson2HttpMessageConverter::writeInternal(Ljava/lang/Object;Ljava/lang/reflect/Type;Lorg/springframework/http/HttpOutputMessage;)V"	"com.fasterxml.jackson.databind.ObjectMapper::writerWithView(Ljava/lang/Class;)Lcom/fasterxml/jackson/databind/ObjectWriter;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::findModules(Ljava/lang/ClassLoader;)Ljava/util/List;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::registerModule(Lcom/fasterxml/jackson/databind/Module;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::registerModules(Ljava/lang/Iterable;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setAnnotationIntrospector(Lcom/fasterxml/jackson/databind/AnnotationIntrospector;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setDateFormat(Ljava/text/DateFormat;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
"org.springframework:spring-web:5.1.10.RELEASE"	"com.fasterxml.jackson.core:jackson-core:2.9.9"	"com.fasterxml.jackson.core.ObjectCodec"	"org.springframework.http.converter.json.Jackson2ObjectMapperBuilder::configure(Lcom/fasterxml/jackson/databind/ObjectMapper;)V"	"com.fasterxml.jackson.databind.ObjectMapper::setDefaultTyping(Lcom/fasterxml/jackson/databind/jsontype/TypeResolverBuilder;)Lcom/fasterxml/jackson/databind/ObjectMapper;"	"com.fasterxml.jackson.databind.ObjectMapper"	1
