SPI	SPI Implementations
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.11.1
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.11.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.dataformat.yaml.YAMLMapper,com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.11.3
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.10.3
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.dataformat.yaml.YAMLMapper;com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.10.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;com.fasterxml.jackson.core:jackson-databind:2.10.0
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;org.apache.htrace:htrace-core4:4.1.0-incubating
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper;org.apache.htrace:htrace-core:3.2.0-incubating
com.fasterxml.jackson.core.ObjectCodec	com.fasterxml.jackson.databind.ObjectMapper,org.apache.htrace:htrace-core:3.2.0-incubating
javax.jdo.JDOEnhancer	org.datanucleus.api.jdo.JDOEnhancer,org.datanucleus:datanucleus-api-jdo:4.2.4
javax.jdo.JDOEnhancer	org.datanucleus.api.jdo.JDOEnhancer;org.datanucleus:datanucleus-api-jdo:4.2.4
javax.money.spi.MonetaryAmountsSingletonSpi	org.javamoney.moneta.internal.DefaultMonetaryAmountsSingletonSpi,org.javamoney.moneta:moneta-core:1.3
javax.money.spi.MonetaryAmountsSingletonSpi	org.javamoney.moneta.internal.DefaultMonetaryAmountsSingletonSpi;org.javamoney.moneta:moneta-core:1.3
lombok.javac.handlers.JavacSingularsRecipes$JavacSingularizer	lombok.javac.handlers.singulars.JavacGuavaMapSingularizer;org.projectlombok:lombok:1.16.10
lombok.javac.handlers.JavacSingularsRecipes$JavacSingularizer	lombok.javac.handlers.singulars.JavacGuavaMapSingularizer;org.projectlombok:lombok:1.18.8
org.jboss.shrinkwrap.api.exporter.TarBz2Exporter	implementingClassName=org.jboss.shrinkwrap.impl.base.exporter.tar.TarBz2ExporterImpl,org.jboss.shrinkwrap:shrinkwrap-impl-base:1.2.6
org.apache.hadoop.hbase.metrics.MetricRegistries	org.apache.hadoop.hbase.metrics.impl.MetricRegistriesImpl,org.apache.hbase:hbase-metrics:2.0.0-alpha4
org.apache.hadoop.hbase.metrics.MetricRegistries	org.apache.hadoop.hbase.metrics.impl.MetricRegistriesImpl;org.apache.hbase:hbase-metrics:2.0.0-alpha4
org.jboss.shrinkwrap.resolver.api.maven.archive.importer.MavenImporter	implementingClassName=org.jboss.shrinkwrap.resolver.impl.maven.archive.importer.MavenImporterImpl,org.jboss.shrinkwrap.resolver:shrinkwrap-resolver-impl-maven-archive:2.2.6
org.apache.hadoop.hbase.master.MetricsSnapshotSource	org.apache.hadoop.hbase.master.MetricsSnapshotSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.MetricsSnapshotSource	org.apache.hadoop.hbase.master.MetricsSnapshotSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
lombok.javac.JavacAnnotationHandler	lombok.javac.handlers.HandleAccessors;org.projectlombok:lombok:1.16.10
lombok.javac.JavacAnnotationHandler	lombok.javac.handlers.HandleAccessors;org.projectlombok:lombok:1.18.8
org/apache/activemq/transport/udp	class=org.apache.activemq.transport.udp.UdpTransportFactory,org.apache.activemq:activemq-client:5.16.0
org.apache.myfaces.config.annotation.LifecycleProvider	org.apache.myfaces.config.annotation.TomcatAnnotationLifecycleProvider,org.apache.myfaces.core:myfaces-impl:2.2.9
com.sun.jersey.spi.container.ContainerProvider	com.sun.jersey.server.impl.container.httpserver.HttpHandlerContainerProvider;com.sun.jersey:jersey-server:1.9
com.sun.jersey.spi.container.ContainerProvider	com.sun.jersey.server.impl.container.httpserver.HttpHandlerContainerProvider,com.sun.jersey:jersey-server:1.9
lombok.core.LombokApp	lombok.bytecode.PoolConstantsApp;org.projectlombok:lombok:1.18.8
lombok.core.LombokApp	lombok.bytecode.PoolConstantsApp;org.projectlombok:lombok:1.16.10
org/apache/activemq/transport/discovery	class=org.apache.activemq.transport.discovery.DiscoveryTransportFactory,org.apache.activemq:activemq-client:5.16.0
com.sun.tools.jconsole.JConsolePlugin	com.alibaba.druid.support.jconsole.DruidPlugin;com.alibaba:druid:1.2.1
com.sun.tools.jconsole.JConsolePlugin	com.alibaba.druid.support.jconsole.DruidPlugin;com.alibaba:druid:1.0.29
com.sun.tools.jconsole.JConsolePlugin	com.alibaba.druid.support.jconsole.DruidPlugin;com.alibaba:druid:1.2.5
com.sun.tools.jconsole.JConsolePlugin	com.alibaba.druid.support.jconsole.DruidPlugin;com.alibaba:druid:1.1.20;
com.sun.tools.jconsole.JConsolePlugin	com.alibaba.druid.support.jconsole.DruidPlugin,com.alibaba:druid:1.2.5
org.eclipse.jetty.io.ssl.ALPNProcessor$Client	org.eclipse.jetty.alpn.openjdk8.client.OpenJDK8ClientALPNProcessor,org.eclipse.jetty:jetty-alpn-openjdk8-client:9.4.42.v20210604
javax.script.ScriptEngineFactory	bsh.engine.BshScriptEngineFactory,org.beanshell:bsh:2.0b5
javax.script.ScriptEngineFactory	org.python.jsr223.PyScriptEngineFactory,org.python:jython-standalone:2.5.2
org.apache.hadoop.hbase.replication.regionserver.MetricsReplicationSourceFactory	org.apache.hadoop.hbase.replication.regionserver.MetricsReplicationSourceFactoryImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.replication.regionserver.MetricsReplicationSourceFactory	org.apache.hadoop.hbase.replication.regionserver.MetricsReplicationSourceFactoryImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.yarn.security.client.ClientRMSecurityInfo;org.apache.hadoop:hadoop-yarn-common:3.1.0
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.yarn.security.client.ClientRMSecurityInfo,org.apache.hadoop:hadoop-yarn-common:3.1.0
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.mapreduce.v2.security.client.ClientHSSecurityInfo;org.apache.hadoop:hadoop-mapreduce-client-jobclient:2.7.1
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.hive.llap.security.LlapServerSecurityInfo;org.apache.hive:hive-llap-server:3.1.2
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.hive.llap.security.LlapServerSecurityInfo,org.apache.hive:hive-llap-server:3.1.2
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.security.AnnotatedSecurityInfo,org.apache.hadoop:hadoop-common:2.6.0
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.yarn.server.RMNMSecurityInfoClass,org.apache.hadoop:hadoop-yarn-server-common:3.1.0
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.mapreduce.v2.app.MRClientSecurityInfo,org.apache.hadoop:hadoop-mapreduce-client-app:2.7.1
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.hive.llap.tezplugins.endpoint.LlapPluginSecurityInfo;org.apache.hive:hive-llap-tez:3.1.2
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.mapreduce.v2.app.MRClientSecurityInfo;org.apache.hadoop:hadoop-mapreduce-client-app:2.7.1
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.mapreduce.v2.security.client.ClientHSSecurityInfo,org.apache.hadoop:hadoop-mapreduce-client-jobclient:2.7.1
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.hive.llap.tezplugins.endpoint.LlapPluginSecurityInfo,org.apache.hive:hive-llap-tez:3.1.2
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.yarn.server.RMNMSecurityInfoClass;org.apache.hadoop:hadoop-yarn-server-common:3.1.0
org.apache.hadoop.security.SecurityInfo	org.apache.hadoop.security.AnnotatedSecurityInfo;org.apache.hadoop:hadoop-common:2.6.0
org.apache.xmlgraphics.image.loader.spi.ImagePreloader	org.apache.xmlgraphics.image.loader.impl.PreloaderTIFF,org.apache.xmlgraphics:xmlgraphics-commons:1.5
org.apache.hadoop.hbase.master.MetricsAssignmentManagerSource	org.apache.hadoop.hbase.master.MetricsAssignmentManagerSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.MetricsAssignmentManagerSource	org.apache.hadoop.hbase.master.MetricsAssignmentManagerSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.MetricsMasterFileSystemSource	org.apache.hadoop.hbase.master.MetricsMasterFilesystemSourceImpl;org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
org.apache.hadoop.hbase.master.MetricsMasterFileSystemSource	org.apache.hadoop.hbase.master.MetricsMasterFilesystemSourceImpl,org.apache.hbase:hbase-hadoop2-compat:2.0.0-alpha4
