Class	Method	Field Name:Field Signature	Annotated In Library	Annotation	Annotation Visibility	Annotation Library	Count
org.springframework.boot.autoconfigure.transaction.jta.JtaAutoConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.audit.AuditAutoConfiguration$AuditEventRepositoryConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.health.HealthEndpointWebExtensionConfiguration$ServletWebHealthConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.spring.web.readers.operation.OperationTagsReader	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
springfox.documentation.spring.web.readers.operation.ApiOperationReader	-	-	io.springfox:springfox-spring-web:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.hibernate.validator.internal.engine.valueextraction.OptionalLongValueExtractor	-	-	org.hibernate.validator:hibernate-validator:6.0.17.Final	javax.validation.valueextraction.UnwrapByDefault	public	javax.validation:validation-api:2.0.1.Final	1
springfox.documentation.swagger.readers.operation.OperationNotesReader	-	-	io.springfox:springfox-swagger-common:2.6.1	org.springframework.stereotype.Component	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.actuate.autoconfigure.metrics.JvmMetricsAutoConfiguration	-	-	org.springframework.boot:spring-boot-actuator-autoconfigure:2.1.9.RELEASE	org.springframework.context.annotation.Configuration	public	org.springframework:spring-context:5.1.10.RELEASE	1
org.springframework.boot.autoconfigure.data.web.SpringDataWebAutoConfiguration	-	-	org.springframework.boot:spring-boot-autoconfigure:2.1.9.RELEASE	org.springframework.data.web.config.EnableSpringDataWebSupport	public	org.springframework.data:spring-data-commons:2.1.11.RELEASE	1
