Caller Method	Caller Library	Callee Visibility	Declared Callee Method	Declared Callee Library	Actual Callee Method	Actual Callee Library	Count	Reflective	DynamicProxy	Label
org.apache.rocketmq.client.impl.MQClientAPIImpl::lockBatchMQ(Ljava/lang/String;Lorg/apache/rocketmq/common/protocol/body/LockBatchRequestBody;J)Ljava/util/Set;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.remoting.protocol.RemotingCommand::getCode()I	org.apache.rocketmq:rocketmq-remoting:4.9.1	-	-	2	false	false	ClientToLib
org.apache.rocketmq.remoting.netty.NettyLogger$NettyBridgeLogger::NettyLogger$NettyBridgeLogger(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	org.apache.rocketmq.logging.InternalLoggerFactory::getLogger(Ljava/lang/String;)Lorg/apache/rocketmq/logging/InternalLogger;	org.apache.rocketmq:rocketmq-logging:4.9.1	org.apache.rocketmq.logging.InternalLoggerFactory::getLogger(Ljava/lang/String;)Lorg/apache/rocketmq/logging/InternalLogger;	org.apache.rocketmq:rocketmq-logging:4.9.1	30	false	false	LibToLib
org.apache.rocketmq.remoting.common.RemotingUtil::closeChannel(Lio/netty/channel/Channel;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	io.netty.channel.Channel::close()Lio/netty/channel/ChannelFuture;	io.netty:netty-all:4.1.65.Final	io.netty.channel.socket.nio.NioSocketChannel::close()Lio/netty/channel/ChannelFuture;	io.netty:netty-all:4.1.65.Final	33	false	false	LibToLib
org.apache.rocketmq.client.producer.DefaultMQProducer::send(Lorg/apache/rocketmq/common/message/Message;Lorg/apache/rocketmq/client/producer/MessageQueueSelector;Ljava/lang/Object;Lorg/apache/rocketmq/client/producer/SendCallback;)V	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.Message::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.impl.consumer.DefaultLitePullConsumerImpl::consumerRunningInfo()Lorg/apache/rocketmq/common/protocol/body/ConsumerRunningInfo;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.MixAll::object2Properties(Ljava/lang/Object;)Ljava/util/Properties;	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.client.producer.DefaultMQProducer::send(Lorg/apache/rocketmq/common/message/Message;Lorg/apache/rocketmq/common/message/MessageQueue;)Lorg/apache/rocketmq/client/producer/SendResult;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.Message::setTopic(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
org.apache.rocketmq.remoting.netty.NettyRemotingClient$NettyConnectManageHandler::close(Lio/netty/channel/ChannelHandlerContext;Lio/netty/channel/ChannelPromise;)V	org.apache.rocketmq:rocketmq-remoting:4.9.1	public	io.netty.channel.ChannelHandlerContext::channel()Lio/netty/channel/Channel;	io.netty:netty-all:4.1.65.Final	-	-	4	false	false	LibToLib
org.apache.rocketmq.client.impl.MQAdminImpl::parsePublishMessageQueues(Ljava/util/List;)Ljava/util/List;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.MessageQueue::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.message.MessageQueue::getTopic()Ljava/lang/String;	org.apache.rocketmq:rocketmq-common:4.9.1	4	false	false	ClientToLib
org.apache.rocketmq.client.impl.factory.MQClientInstance::prepareHeartbeatData()Lorg/apache/rocketmq/common/protocol/heartbeat/HeartbeatData;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData::getProducerDataSet()Ljava/util/Set;	org.apache.rocketmq:rocketmq-common:4.9.1	org.apache.rocketmq.common.protocol.heartbeat.HeartbeatData::getProducerDataSet()Ljava/util/Set;	org.apache.rocketmq:rocketmq-common:4.9.1	132	false	false	ClientToLib
org.apache.rocketmq.client.producer.DefaultMQProducer::batch(Ljava/util/Collection;)Lorg/apache/rocketmq/common/message/MessageBatch;	org.apache.rocketmq:rocketmq-client:4.9.1	public	org.apache.rocketmq.common.message.Message::setTopic(Ljava/lang/String;)V	org.apache.rocketmq:rocketmq-common:4.9.1	-	-	1	false	false	ClientToLib
